Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.40000","0.46013","1.13409"
"18.50000","0.46257","1.14525"
"18.60000","0.46495","1.25456"
"18.70000","0.46761","1.23241"
"18.80000","0.47011","1.16563"
"18.90000","0.47260","1.17354"
"19.00000","0.47504","1.19972"
"19.10000","0.47759","1.17654"
"19.20000","0.48008","1.19405"
"19.30000","0.48257","1.22653"
"19.40000","0.48501","1.23063"
"19.50000","0.48750","1.21426"
"19.60000","0.49011","1.23542"
"19.70000","0.49266","1.24602"
"19.80000","0.49504","1.20700"
"19.90000","0.49753","1.16492"
"20.00000","0.50003","1.23011"
"20.10000","0.50263","1.22923"
"20.20000","0.50513","1.21056"
"20.30000","0.50745","1.23705"
"20.40000","0.51011","1.25309"
"20.50000","0.51255","1.26695"
"20.60000","0.51510","1.26509"
"20.70000","0.51754","1.24162"
"20.80000","0.51997","1.19571"
"20.90000","0.52252","1.25982"
"21.00000","0.52513","1.22965"
"21.10000","0.52751","1.23551"
"21.20000","0.53000","1.26435"
"21.30000","0.53261","1.23785"
"21.40000","0.53510","1.25810"
"21.50000","0.53760","1.21623"
"21.60000","0.54003","1.24472"
"21.70000","0.54253","1.26441"
"21.80000","0.54508","1.24168"
"21.90000","0.54763","1.25845"
"22.00000","0.55006","1.25826"
"22.10000","0.55256","1.24513"
"22.20000","0.55499","1.26563"
"22.30000","0.55754","1.28963"
"22.40000","0.56015","1.31461"
"22.50000","0.56253","1.27099"
"22.60000","0.56508","1.30493"
"22.70000","0.56763","1.26959"
"22.80000","0.57012","1.29697"
"22.90000","0.57250","1.31229"
"23.00000","0.57500","1.32420"
"23.10000","0.57755","1.31699"
"23.20000","0.58015","1.31383"
"23.30000","0.58253","1.30763"
"23.40000","0.58497","1.31301"
"23.50000","0.58752","1.32491"
"23.60000","0.59007","1.34281"
"23.70000","0.59256","1.33910"
"23.80000","0.59500","1.36701"
"23.90000","0.59755","1.34720"
"24.00000","0.60010","1.34232"
"24.10000","0.60265","1.36459"
"24.20000","0.60514","1.36887"
"24.30000","0.60758","1.37099"
"24.40000","0.61002","1.34060"
"24.50000","0.61257","1.35181"
"24.60000","0.61506","1.36161"
"24.70000","0.61755","1.37544"
"24.80000","0.62005","1.34631"
"24.90000","0.62265","1.35456"
"25.00000","0.62498","1.34083"
"25.10000","0.62753","1.35216"
"25.20000","0.63008","1.41160"
"25.30000","0.63257","1.39557"
"25.40000","0.63501","1.38080"
"25.50000","0.63756","1.39513"
"25.60000","0.64005","1.40065"
"25.70000","0.64254","1.42005"
"25.80000","0.64509","1.36217"
"25.90000","0.64753","1.39858"
"26.00000","0.65002","1.41107"
"26.10000","0.65252","1.41213"
"26.20000","0.65501","1.41176"
"26.30000","0.65750","1.41163"
"26.40000","0.66000","1.40195"
"26.50000","0.66266","1.40866"
"26.60000","0.66515","1.45433"
"26.70000","0.66759","1.41887"
"26.80000","0.67003","1.38837"
"26.90000","0.67263","1.41325"
"27.00000","0.67518","1.45607"
"27.10000","0.67756","1.43551"
"27.20000","0.68006","1.40898"
"27.30000","0.68249","1.42309"
"27.40000","0.68504","1.43240"
"27.50000","0.68765","1.42251"
"27.60000","0.68997","1.44383"
"27.70000","0.69247","1.46219"
"27.80000","0.69513","1.42550"
"27.90000","0.69757","1.43984"
"28.00000","0.70000","1.47824"
"28.10000","0.70255","1.47743"
"28.20000","0.70505","1.48133"
"28.30000","0.70760","1.44528"
"28.40000","0.71009","1.46970"
"28.50000","0.71247","1.52894"
"28.60000","0.71508","1.48676"
"28.70000","0.71768","1.46375"
"28.80000","0.72006","1.47376"
"28.90000","0.72250","1.47612"
"29.00000","0.72505","1.49440"
"29.10000","0.72754","1.48611"
