Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.40000","0.46008","0.82888"
"18.50000","0.46263","0.84898"
"18.60000","0.46506","0.83317"
"18.70000","0.46750","0.84632"
"18.80000","0.46999","0.86210"
"18.90000","0.47254","0.84557"
"19.00000","0.47515","0.87539"
"19.10000","0.47747","0.86583"
"19.20000","0.48002","0.89955"
"19.30000","0.48252","0.85323"
"19.40000","0.48507","0.88394"
"19.50000","0.48756","0.86158"
"19.60000","0.49000","0.88649"
"19.70000","0.49249","0.86518"
"19.80000","0.49510","0.89377"
"19.90000","0.49753","0.89911"
"20.00000","0.49991","0.89898"
"20.10000","0.50258","0.89232"
"20.20000","0.50507","0.91040"
"20.30000","0.50762","0.92411"
"20.40000","0.51006","0.92891"
"20.50000","0.51244","0.94584"
"20.60000","0.51504","0.89585"
"20.70000","0.51759","0.90402"
"20.80000","0.52003","0.89941"
"20.90000","0.52252","0.94162"
"21.00000","0.52502","0.89589"
"21.10000","0.52751","0.90654"
"21.20000","0.53012","0.89482"
"21.30000","0.53255","0.92396"
"21.40000","0.53505","0.92085"
"21.50000","0.53760","0.92592"
"21.60000","0.54009","0.92400"
"21.70000","0.54253","0.93694"
"21.80000","0.54502","0.94633"
"21.90000","0.54746","0.94174"
"22.00000","0.55006","0.94269"
"22.10000","0.55256","0.95431"
"22.20000","0.55494","0.92523"
"22.30000","0.55749","0.96397"
"22.40000","0.56009","0.93722"
"22.50000","0.56259","0.94255"
"22.60000","0.56497","0.92704"
"22.70000","0.56752","0.94354"
"22.80000","0.57007","0.97221"
"22.90000","0.57262","0.95843"
"23.00000","0.57511","0.97093"
"23.10000","0.57755","0.91470"
"23.20000","0.57998","0.94982"
"23.30000","0.58253","0.97013"
"23.40000","0.58503","0.96434"
"23.50000","0.58758","0.97195"
"23.60000","0.59007","1.00066"
"23.70000","0.59262","1.00463"
"23.80000","0.59506","0.98822"
"23.90000","0.59749","0.96019"
"24.00000","0.60004","0.99725"
"24.10000","0.60248","1.03195"
"24.20000","0.60497","1.01103"
"24.30000","0.60747","1.03620"
"24.40000","0.61002","0.98933"
"24.50000","0.61245","1.00708"
"24.60000","0.61500","0.98739"
"24.70000","0.61750","0.98777"
"24.80000","0.61999","1.02940"
"24.90000","0.62254","1.04000"
"25.00000","0.62503","0.97306"
"25.10000","0.62747","1.01246"
"25.20000","0.62996","1.05561"
"25.30000","0.63263","1.02078"
"25.40000","0.63512","1.01537"
"25.50000","0.63756","1.04048"
"25.60000","0.63999","1.06224"
"25.70000","0.64254","1.06205"
"25.80000","0.64509","1.04578"
"25.90000","0.64753","1.00410"
"26.00000","0.65002","1.04526"
"26.10000","0.65252","1.05810"
"26.20000","0.65507","1.04047"
"26.30000","0.65762","1.04911"
"26.40000","0.66005","1.05048"
"26.50000","0.66243","1.08709"
"26.60000","0.66510","1.10082"
"26.70000","0.66753","1.08283"
"26.80000","0.67003","1.12465"
"26.90000","0.67252","1.06582"
"27.00000","0.67501","1.09316"
"27.10000","0.67751","1.07926"
"27.20000","0.68011","1.07262"
"27.30000","0.68244","1.07145"
"27.40000","0.68499","1.06761"
"27.50000","0.68759","1.13994"
"27.60000","0.69009","1.11271"
"27.70000","0.69252","1.10264"
"27.80000","0.69507","1.08702"
"27.90000","0.69751","1.06803"
"28.00000","0.70017","1.08034"
"28.10000","0.70261","1.10973"
"28.20000","0.70493","1.07152"
