Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.04953"
"0.10000","0.00057","0.05640"
"0.20000","0.00419","0.08473"
"0.30000","0.00731","0.07751"
"0.40000","0.01003","0.06616"
"0.50000","0.01252","0.05152"
"0.60000","0.01496","0.08114"
"0.70000","0.01745","0.07936"
"0.80000","0.02000","0.09416"
"0.90000","0.02255","0.06194"
"1.00000","0.02505","0.05760"
"1.10000","0.02743","0.06613"
"1.20000","0.03003","0.09158"
"1.30000","0.03258","0.05732"
"1.40000","0.03508","0.06927"
"1.50000","0.03757","0.08316"
"1.60000","0.04001","0.06650"
"1.70000","0.04256","0.05463"
"1.80000","0.04516","0.07148"
"1.90000","0.04760","0.08601"
"2.00000","0.05004","0.09176"
"2.10000","0.05253","0.06502"
"2.20000","0.05502","0.08353"
"2.30000","0.05763","0.03930"
"2.40000","0.06007","0.09130"
"2.50000","0.06250","0.10514"
"2.60000","0.06505","0.04278"
"2.70000","0.06755","0.08168"
"2.80000","0.07010","0.06590"
"2.90000","0.07253","0.05892"
"3.00000","0.07503","0.09394"
"3.10000","0.07758","0.07124"
"3.20000","0.08013","0.05739"
"3.30000","0.08245","0.06298"
"3.40000","0.08500","0.06866"
"3.50000","0.08755","0.11413"
"3.60000","0.09010","0.10388"
"3.70000","0.09254","0.07975"
"3.80000","0.09503","0.08439"
"3.90000","0.09752","0.08859"
"4.00000","0.10007","0.08542"
"4.10000","0.10257","0.08747"
"4.20000","0.10512","0.07933"
"4.30000","0.10755","0.08718"
"4.40000","0.11010","0.09000"
"4.50000","0.11254","0.06689"
"4.60000","0.11509","0.09401"
"4.70000","0.11758","0.08274"
"4.80000","0.12008","0.09943"
"4.90000","0.12263","0.10769"
"5.00000","0.12501","0.08645"
"5.10000","0.12756","0.07358"
"5.20000","0.12999","0.14662"
"5.30000","0.13254","0.09545"
"5.40000","0.13498","0.09465"
"5.50000","0.13753","0.09076"
"5.60000","0.14002","0.07166"
"5.70000","0.14257","0.09054"
"5.80000","0.14507","0.11500"
"5.90000","0.14750","0.07400"
"6.00000","0.15005","0.10107"
"6.10000","0.15255","0.07317"
"6.20000","0.15498","0.09640"
"6.30000","0.15748","0.07000"
"6.40000","0.16008","0.08291"
"6.50000","0.16263","0.10700"
"6.60000","0.16507","0.08994"
"6.70000","0.16756","0.08548"
"6.80000","0.17000","0.09181"
"6.90000","0.17261","0.10374"
"7.00000","0.17510","0.06494"
"7.10000","0.17754","0.08551"
"7.20000","0.18003","0.10844"
"7.30000","0.18252","0.13567"
"7.40000","0.18507","0.09373"
"7.50000","0.18762","0.10448"
"7.60000","0.18995","0.09073"
"7.70000","0.19255","0.10048"
"7.80000","0.19510","0.09283"
"7.90000","0.19754","0.14290"
"8.00000","0.19998","0.11381"
"8.10000","0.20253","0.07305"
"8.20000","0.20496","0.09723"
"8.30000","0.20763","0.11939"
"8.40000","0.21006","0.09586"
"8.50000","0.21244","0.10804"
"8.60000","0.21511","0.10127"
"8.70000","0.21766","0.08491"
"8.80000","0.22004","0.13308"
"8.90000","0.22253","0.11801"
"9.00000","0.22508","0.10427"
"9.10000","0.22763","0.09743"
"9.20000","0.23018","0.09955"
"9.30000","0.23245","0.14263"
"9.40000","0.23505","0.15233"
"9.50000","0.23755","0.10327"
"9.60000","0.24010","0.13603"
"9.70000","0.24259","0.12599"
"9.80000","0.24503","0.10480"
"9.90000","0.24752","0.12597"
"10.00000","0.25013","0.11962"
"10.10000","0.25256","0.06989"
"10.20000","0.25494","0.12160"
"10.30000","0.25761","0.13400"
"10.40000","0.26004","0.08954"
"10.50000","0.26259","0.11930"
"10.60000","0.26503","0.11459"
"10.70000","0.26747","0.12272"
"10.80000","0.27002","0.16144"
"10.90000","0.27262","0.10965"
"11.00000","0.27506","0.10656"
"11.10000","0.27755","0.11916"
"11.20000","0.27999","0.15197"
"11.30000","0.28254","0.13216"
"11.40000","0.28515","0.17083"
"11.50000","0.28753","0.10364"
"11.60000","0.29002","0.10886"
"11.70000","0.29263","0.14000"
"11.80000","0.29512","0.13714"
"11.90000","0.29756","0.12055"
"12.00000","0.29999","0.11567"
"12.10000","0.30249","0.14866"
"12.20000","0.30504","0.10213"
"12.30000","0.30759","0.11073"
"12.40000","0.30997","0.12024"
"12.50000","0.31252","0.08190"
"12.60000","0.31512","0.14534"
"12.70000","0.31756","0.09239"
"12.80000","0.31994","0.11233"
"12.90000","0.32255","0.11982"
"13.00000","0.32498","0.15273"
"13.10000","0.32759","0.11493"
"13.20000","0.33008","0.12209"
"13.30000","0.33258","0.11918"
"13.40000","0.33501","0.13655"
"13.50000","0.33756","0.12008"
"13.60000","0.34000","0.11959"
"13.70000","0.34255","0.12862"
"13.80000","0.34504","0.15348"
"13.90000","0.34759","0.14254"
"14.00000","0.35009","0.15400"
"14.10000","0.35252","0.11538"
"14.20000","0.35507","0.12308"
"14.30000","0.35757","0.10217"
"14.40000","0.36006","0.13247"
"14.50000","0.36250","0.09453"
"14.60000","0.36505","0.11535"
"14.70000","0.36748","0.14046"
"14.80000","0.37003","0.13789"
"14.90000","0.37253","0.14892"
"15.00000","0.37502","0.19189"
"15.10000","0.37757","0.11422"
"15.20000","0.38006","0.14416"
"15.30000","0.38250","0.11830"
"15.40000","0.38499","0.13105"
"15.50000","0.38760","0.11839"
"15.60000","0.39015","0.14413"
"15.70000","0.39259","0.15316"
"15.80000","0.39497","0.13460"
"15.90000","0.39752","0.15942"
"16.00000","0.40012","0.14137"
"16.10000","0.40256","0.15901"
"16.20000","0.40511","0.19230"
"16.30000","0.40755","0.13651"
"16.40000","0.41004","0.11343"
"16.50000","0.41265","0.12099"
"16.60000","0.41503","0.11343"
"16.70000","0.41746","0.16008"
"16.80000","0.42013","0.11840"
"16.90000","0.42262","0.11709"
"17.00000","0.42506","0.12258"
"17.10000","0.42755","0.11476"
"17.20000","0.43004","0.12961"
"17.30000","0.43259","0.10027"
"17.40000","0.43509","0.17010"
"17.50000","0.43752","0.13166"
"17.60000","0.44002","0.11849"
"17.70000","0.44257","0.16654"
"17.80000","0.44512","0.17103"
"17.90000","0.44750","0.16641"
"18.00000","0.45005","0.10017"
